Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical","Serious,Critical/1M pop",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Active case/1M pop,WHO Region
India,Asia,1381344997,2025409,,41638,,1377384,,606387,8944,6,1466,30,22149351,16035,439,South-EastAsia
USA,North America,331198130,5032179,,162804,,2576668,,2292707,18296,55,15194,492,63139605,190640,6922,Americas
Indonesia,Asia,273808365,118753,,5521,,75645,,37587,,0,434,20,1633156,5965,137,South-EastAsia
Pakistan,Asia,221295851,281863,,6035,,256058,,19770,809,4,1274,27,2058872,9304,89,EasternMediterranean
Brazil,South America,212710692,2917562,,98644,,2047660,,771258,8318,39,13716,464,13206188,62085,3626,Americas
Nigeria,Africa,206606300,45244,,930,,32430,,11884,7,0,219,5,306894,1485,58,Africa
Bangladesh,Asia,164851401,249651,,3306,,143824,,102521,,0,1514,20,1225124,7432,622,South-EastAsia
Russia,Europe,145940924,871894,,14606,,676357,,180931,2300,16,5974,100,29716907,203623,1240,Europe
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,31,3585,391,1056915,8189,801,Americas
Japan,Asia,126435859,42263,,1026,,28877,,12360,115,1,334,8,938739,7425,98,WesternPacific
Ethiopia,Africa,115223736,20900,,365,,9027,,11508,185,2,181,3,468814,4069,100,Africa
Philippines,Asia,109722719,119460,,2150,,66837,,50473,239,2,1089,20,1669996,15220,460,WesternPacific
Egypt,Africa,102516525,95006,,4951,,48898,,41157,41,0,927,48,135000,1317,401,EasternMediterranean
Vietnam,Asia,97425470,747,,10,,392,,345,,0,8,0.1,482456,4952,4,WesternPacific
Congo,Africa,89802183,9309,,215,,8048,,1046,,0,104,2,,,12,Africa
Turkey,Asia,84428331,237265,,5798,,220546,,10921,580,7,2810,69,5081802,60191,129,Europe
Iran,Asia,84097623,320117,,17976,,277463,,24678,4156,49,3806,214,2612763,31068,293,EasternMediterranean
Germany,Europe,83811260,215210,,9252,,196200,,9758,236,3,2568,110,8586648,102452,116,Europe
Thailand,Asia,69817894,3330,,58,,3148,,124,1,0,48,0.8,749213,10731,2,South-EastAsia
UK,Europe,67922029,308134,,46413,,,,,73,1,4537,683,17515234,257873,0,Europe
France,Europe,65288306,195633,,30312,,82460,,82861,384,6,2996,464,3992206,61147,1269,Europe
Italy,Europe,60452568,249204,,35187,,201323,,12694,42,1,4122,582,7099713,117443,210,Europe
Tanzania,Africa,59886383,509,,21,,183,,305,7,0,8,0.4,,,5,Africa
South Africa,Africa,59381566,538184,,9604,,387316,,141264,539,9,9063,162,3149807,53044,2379,Africa
Myanmar,Asia,54446389,357,,6,,308,,43,,0,7,0.1,122290,2246,1,South-EastAsia
Kenya,Africa,53881160,24411,,399,,10444,,13568,44,1,453,7,335318,6223,252,Africa
